Toronto — Average Rent by Bedroom Type by Neighbourhood,,,,,,,,,,
October 2022 Row - Apartment,,,,,,,,,,
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,
Agincourt-Malvern,**,,"1,390",a ,"1,595",a ,"1,421",b ,"1,503",a 
Ajax-Pickering,**,,"1,193",c ,"1,533",a ,"1,609",a ,"1,557",a 
Alderwood,**,,**,,**,,**,,**,
Aurora,**,,"1,259",b ,"1,559",b ,**,,"1,499",c 
Banbury-Don Mills-York Mills,"1,185",d ,"1,519",a ,"1,853",b ,"2,280",b ,"1,751",b 
Bathurst Manor,"1,063",a ,"1,409",a ,"1,582",a ,"1,802",b ,"1,557",a 
Bay Street Corridor,"1,717",a ,"2,356",b ,"3,548",b ,**,,"2,662",b 
Bayview Village,**,,"1,581",a ,"1,963",b ,"2,330",a ,"1,971",a 
Bayview Woods-Steeles-Hillcrest Village,**,,"2,365",b ,"3,171",c ,"3,560",c ,"3,105",b 
Bedford Park-Nortown,"1,128",b ,"1,356",a ,"1,706",a ,"2,103",c ,"1,515",a 
Beechborough-Greenbrook,**,,957,a ,**,,**,,**,
Bendale,**,,"1,488",b ,"1,544",b ,"1,768",c ,"1,592",b 
Birchcliffe-Cliffside,**,,"1,590",a ,"1,830",b ,**,,"1,678",a 
Black Creek,"1,316",a ,"1,320",a ,"1,679",a ,"1,717",a ,"1,592",a 
Bradford-West Gwillimbury-New Tecumseth,"1,069",d ,"1,051",a ,"1,278",b ,**,,"1,201",a 
Brampton (East),"1,339",a ,"1,642",a ,"1,792",a ,"1,962",a ,"1,769",a 
Brampton (West),"1,166",c ,"1,432",a ,"1,606",a ,"1,741",b ,"1,546",a 
Briar Hill-Belgravia,"1,168",d ,"1,386",c ,"1,761",b ,**,,"1,596",c 
Broadview North,"1,127",b ,"1,395",a ,"1,671",a ,"2,353",a ,"1,452",a 
Bronte,**,,"1,537",a ,"1,868",a ,**,,"1,745",a 
Brookhaven-Amesbury,"1,291",b ,"1,446",b ,"1,740",b ,"2,463",b ,"1,704",b 
Cabbagetown-South St. James Town,"1,374",a ,"1,593",a ,"2,126",a ,**,,"1,654",a 
Caledon,**,,**,,**,,**,,**,
Caledonia-Fairbank,"1,097",d ,"1,240",c ,"1,420",c ,**,,"1,318",b 
Casa Loma,"1,392",b ,"1,710",b ,"2,335",d ,**,,"1,994",c 
Churchill Meadows-Erin Mills,"1,316",b ,"1,644",c ,"1,691",b ,"1,971",a ,"1,751",a 
Church-Yonge Corridor,"1,486",a ,"1,693",a ,"2,201",a ,"3,219",b ,"1,721",a 
Clairlea-Birchmount,**,,"1,285",a ,"1,519",b ,**,,"1,375",a 
Clanton Park,994,b ,"1,326",d ,"1,641",d ,**,,"1,451",d 
Clarkson-Lorne Park,"1,054",b ,"1,385",a ,"1,477",b ,"1,691",a ,"1,447",a 
Cliffcrest,**,,"1,433",c ,"1,597",c ,"1,650",c ,"1,547",c 
Cooksville,"1,300",b ,"1,474",a ,"1,660",a ,"1,963",c ,"1,582",a 
Crescent Town,"1,055",b ,"1,268",a ,"1,485",b ,"1,760",b ,"1,358",a 
Danforth Village-East York,**,,"1,396",b ,"1,449",c ,**,,"1,422",b 
Don Valley Village-Pleasant View,"1,194",a ,"1,495",a ,"1,673",a ,"1,815",a ,"1,653",a 
Dorset Park,**,,"1,704",a ,"1,925",b ,"2,340",b ,"1,849",a 
Dovercourt-Davenport-Junction,"1,368",b ,"1,709",b ,"1,781",a ,**,,"1,714",a 
Downsview,"1,068",b ,"1,306",a ,"1,497",a ,"1,707",a ,"1,441",a 
Dufferin Grove-Little Portugal,"1,569",b ,"1,630",b ,"2,365",c ,"2,895",d ,"1,823",b 
East End-Danforth,"1,237",a ,"1,473",a ,"1,650",b ,**,,"1,518",a 
East Gwillimbury-Newmarket,**,,"1,502",a ,"1,487",a ,**,,"1,465",a 
Edenbridge-Humber Valley,"1,068",b ,"1,705",a ,"2,071",a ,"2,802",a ,"1,993",a 
Eglinton East,"1,060",d ,"1,271",a ,"1,422",a ,"1,735",b ,"1,440",b 
Elms-Old Rexdale,**,,**,,"2,049",c ,"2,646",b ,"2,186",c 
Englemount-Lawrence,"1,174",c ,"1,357",b ,"1,623",b ,"1,921",c ,"1,531",b 
Eringate-Centennial-West Deane,**,,"1,592",a ,"1,595",c ,"1,737",c ,"1,617",b 
Etobicoke West Mall,**,,"1,611",a ,"1,866",a ,"2,101",a ,"1,849",a 
Flemingdon Park,**,,"1,389",a ,"1,479",a ,"1,734",b ,"1,479",a 
Forest Hill North,"1,330",a ,"1,588",a ,"1,915",b ,"2,698",d ,"1,752",b 
Forest Hill South,"1,303",d ,"1,677",b ,"2,204",b ,**,,"1,794",b 
Georgina,**,,"1,033",b ,"1,140",c ,**,,"1,166",c 
Guildwood,**,,**,,**,,**,,**,
Henry Farm,**,,"1,550",a ,"1,884",a ,"2,031",a ,"1,783",a 
High Park North-Junction,"1,240",b ,"1,539",a ,"2,020",b ,"2,687",c ,"1,679",b 
High Park-Swansea,**,,"1,426",c ,**,,**,,"1,546",d 
Humber Heights-Westmount,**,,"1,613",c ,"1,774",c ,**,,"1,784",c 
Humewood-Cedarvale,"1,216",c ,"1,726",a ,"2,245",b ,"2,949",d ,"1,890",b 
Ionview,"1,232",b ,"1,481",a ,"1,633",a ,"1,811",b ,"1,555",a 
Islington-City Centre North,"1,479",a ,"1,582",a ,"1,736",b ,"1,944",b ,"1,688",a 
Islington-City Centre South,"1,120",d ,**,,"1,675",c ,**,,"1,550",c 
Keelesdale-Eglinton West,**,,**,,**,,**,,**,
Kennedy Park,**,,"1,414",b ,"1,618",c ,"1,475",c ,"1,510",c 
Kensington-Chinatown,**,,**,,**,,**,,**,
Kingsview Village-The Westway,**,,"1,514",a ,"1,682",b ,"1,953",b ,"1,685",a 
